A,D,alpha,offset,min,max
0.0320000000000000006661,0.0269350000000000006084,90.0,90.0,-22.0,84.0 
0.0,-0.00549999999999999968081,-90.0,90.0,-39.0,39.0 
0.0233646999999999986641,-0.142800000000000010258,-90.0,-75.0,-59.0000000000000071054,59.0000000000000071054 
0.0,0.106999999999999997891,-90.0,90.0,-95.5,5.0 
0.0,0.0,-90.0,90.0,0.0,160.800000000000011369 
0.0149999999999999994449,0.159060000000000006937,-90.0,-105.000000000000014211,-37.0,100.0 
0.0149999999999999994449,0.0,-90.0,-180.0,5.5,106.0 
0.0,0.142300000000000009814,90.0,90.0,-50.0,50.0 
0.0,-0.000299999999999999973719,-90.0,-90.0,-65.0,10.0 
0.0592600000000000001754,-0.0250569999999999994122,0.0,-178.361099999999993315,-25.0,25.0
