A,D,alpha,offset,min,max
0.0320000000000000006661,0.0,90.0,0.0,-22.0,84.0 
0.0,-0.00549999999999999968081,90.0,-90.0,-39.0,39.0 
-0.0233646999999999986641,-0.143300000000000010703,90.0,-105.000000000000014211,-59.0000000000000071054,59.0000000000000071054 
0.0,-0.107740000000000002434,90.0,-90.0,-95.5,5.0
0.0,0.0,-90.0,-90.0,0.0,160.800000000000011369 
-0.0149999999999999994449,-0.152279999999999998694,-90.0,-105.000000000000014211,-37.0,100.0
0.0149999999999999994449,0.0,90.0,0.0,5.5,106.0
0.0,-0.141300000000000008926,90.0,-90.0,-50.0,50.0 
0.0,0.0,90.0,90.0,-65.0,10.0 
0.0625,0.0259799999999999996214,0.0,180.0,-25.0,25.0 
